,owner_id,owner_age_group,owner_gender,district,dog_breed,dog_birthyear,dog_sex,dog_colour,dog_age,distric_name
64,22776,51-60,Male,11,Berner Sennenhund,2014,Male,tricolor,6,"Affoltern, Seebach, Oerlikon"
65,22950,61-70,Female,11,Mittelpudel,2013,Female,black,7,"Affoltern, Seebach, Oerlikon"
66,23054,61-70,Female,10,Cairn Terrier,2011,Male,rot/beige,9,"Hoengg, Wipkingen"
67,23408,41-50,Male,12,Yorkshire Terrier,2011,Female,black & light brown,9,Schwamendingen
68,23453,41-50,Male,11,Golden Retriever,2016,Female,schwarz/weiss/braun,4,"Affoltern, Seebach, Oerlikon"
69,23493,61-70,Male,11,Boxer,2013,Male,brown & white,7,"Affoltern, Seebach, Oerlikon"
70,23590,61-70,Female,9,Affenpinscher,2012,Female,black,8,"Albisriesen, Altstetten"
71,23750,41-50,Female,8,Parson Jack Russell Terrier,2019,Male,tricolor,1,Riesbach
72,23889,61-70,Female,4,Standard poodle,2012,Male,brown,8,Aussersihl
73,24041,41-50,Female,11,Bergamasker,2019,Female,black & white,1,"Affoltern, Seebach, Oerlikon"
74,24246,51-60,Male,10,Samojede,2018,Female,white,2,"Hoengg, Wipkingen"
75,44439,71-80,Male,7,Small mixed breed,2005,Male,light brown,15,"Funtern, Hottingen, Hirslanden, Witikon"
76,54322,71-80,Male,3,Lagotto Romagnolo,2009,Male,weiss/orange,11,Wiedikon
77,55176,71-80,Male,3,Dobermann,2016,Male,black & brown,4,Wiedikon
78,55693,71-80,Female,11,Chihuahua,2011,Female,brown & white,9,"Affoltern, Seebach, Oerlikon"
79,55835,71-80,Female,8,Lagotto Romagnolo,2009,Male,marronschimmel,11,Riesbach
80,60348,71-80,Male,11,Small mixed breed,2013,Female,black & white,7,"Affoltern, Seebach, Oerlikon"
81,60402,61-70,Female,11,Small mixed breed,2013,Male,dunkelbraun,7,"Affoltern, Seebach, Oerlikon"
82,61323,71-80,Male,8,Mudi,2010,Male,blond,10,Riesbach
83,62389,71-80,Male,8,Boxer,2014,Female,brindle,6,Riesbach
84,62628,71-80,Male,7,Yorkshire Terrier,2007,Female,graubraun,13,"Funtern, Hottingen, Hirslanden, Witikon"
85,63468,81-90,Male,7,Pekingese,2012,Male,black & white,8,"Funtern, Hottingen, Hirslanden, Witikon"
86,63704,71-80,Male,10,Dachshund,2012,Female,saufarben,8,"Hoengg, Wipkingen"
87,64444,61-70,Male,7,Small mixed breed,2007,Female,red & white,13,"Funtern, Hottingen, Hirslanden, Witikon"
